Navn;Kodeverdi;Eier; Status;Oppdatert;Versjons ID;Beskrivelse;Gyldig fra;Gylig til; ID
0717;0717;Kartverket;Utgått;29.11.2017;1;Borre;;;https://register.geonorge.no/subregister/sosi-kodelister/kartverket/kommunenummer-alle/kartverket/0717
0718;0718;Kartverket;Utgått;29.11.2017;1;Ramnes;;;https://register.geonorge.no/subregister/sosi-kodelister/kartverket/kommunenummer-alle/kartverket/0718
0719;0719;Kartverket;Utgått;29.11.2017;1;Andebu;;;https://register.geonorge.no/subregister/sosi-kodelister/kartverket/kommunenummer-alle/kartverket/0719
0720;0720;Kartverket;Utgått;29.11.2017;1;Stokke;;;https://register.geonorge.no/subregister/sosi-kodelister/kartverket/kommunenummer-alle/kartverket/0720
0721;0721;Kartverket;Utgått;29.11.2017;1;Sem;;;https://register.geonorge.no/subregister/sosi-kodelister/kartverket/kommunenummer-alle/kartverket/0721
0722;0722;Kartverket;Utgått;29.11.2017;1;Nøtterøy;;01.01.2018 00:00:00;https://register.geonorge.no/subregister/sosi-kodelister/kartverket/kommunenummer-alle/kartverket/0722
0723;0723;Kartverket;Utgått;29.11.2017;1;Tjøme;;01.01.2018 00:00:00;https://register.geonorge.no/subregister/sosi-kodelister/kartverket/kommunenummer-alle/kartverket/0723
0725;0725;Kartverket;Utgått;29.11.2017;1;Tjølling;;;https://register.geonorge.no/subregister/sosi-kodelister/kartverket/kommunenummer-alle/kartverket/0725
0726;0726;Kartverket;Utgått;29.11.2017;1;Brunlanes;;;https://register.geonorge.no/subregister/sosi-kodelister/kartverket/kommunenummer-alle/kartverket/0726
0727;0727;Kartverket;Utgått;29.11.2017;1;Hedrum;;;https://register.geonorge.no/subregister/sosi-kodelister/kartverket/kommunenummer-alle/kartverket/0727
0728;0728;Kartverket;Utgått;29.11.2017;1;Lardal;;01.01.2018 00:00:00;https://register.geonorge.no/subregister/sosi-kodelister/kartverket/kommunenummer-alle/kartverket/0728
0729;0729;Kartverket;Gyldig;29.11.2017;1;Færder;01.01.2018 00:00:00;;https://register.geonorge.no/subregister/sosi-kodelister/kartverket/kommunenummer-alle/kartverket/0729
0805;0805;Kartverket;Gyldig;29.11.2017;1;Porsgrunn;;;https://register.geonorge.no/subregister/sosi-kodelister/kartverket/kommunenummer-alle/kartverket/0805
0806;0806;Kartverket;Gyldig;29.11.2017;1;Skien;;;https://register.geonorge.no/subregister/sosi-kodelister/kartverket/kommunenummer-alle/kartverket/0806
0807;0807;Kartverket;Gyldig;29.11.2017;1;Notodden;;;https://register.geonorge.no/subregister/sosi-kodelister/kartverket/kommunenummer-alle/kartverket/0807
0811;0811;Kartverket;Gyldig;29.11.2017;1;Siljan;;;https://register.geonorge.no/subregister/sosi-kodelister/kartverket/kommunenummer-alle/kartverket/0811
0814;0814;Kartverket;Gyldig;29.11.2017;1;Bamble;;;https://register.geonorge.no/subregister/sosi-kodelister/kartverket/kommunenummer-alle/kartverket/0814
0815;0815;Kartverket;Gyldig;29.11.2017;1;Kragerø;;;https://register.geonorge.no/subregister/sosi-kodelister/kartverket/kommunenummer-alle/kartverket/0815
0817;0817;Kartverket;Gyldig;29.11.2017;1;Drangedal;;;https://register.geonorge.no/subregister/sosi-kodelister/kartverket/kommunenummer-alle/kartverket/0817
0819;0819;Kartverket;Gyldig;29.11.2017;1;Nome;;;https://register.geonorge.no/subregister/sosi-kodelister/kartverket/kommunenummer-alle/kartverket/0819
0821;0821;Kartverket;Gyldig;29.11.2017;1;Bø i Telemark;;;https://register.geonorge.no/subregister/sosi-kodelister/kartverket/kommunenummer-alle/kartverket/0821
0822;0822;Kartverket;Gyldig;29.11.2017;1;Sauherad;;;https://register.geonorge.no/subregister/sosi-kodelister/kartverket/kommunenummer-alle/kartverket/0822
0826;0826;Kartverket;Gyldig;29.11.2017;1;Tinn;;;https://register.geonorge.no/subregister/sosi-kodelister/kartverket/kommunenummer-alle/kartverket/0826
0827;0827;Kartverket;Gyldig;29.11.2017;1;Hjartdal;;;https://register.geonorge.no/subregister/sosi-kodelister/kartverket/kommunenummer-alle/kartverket/0827
0828;0828;Kartverket;Gyldig;29.11.2017;1;Seljord;;;https://register.geonorge.no/subregister/sosi-kodelister/kartverket/kommunenummer-alle/kartverket/0828
0829;0829;Kartverket;Gyldig;29.11.2017;1;Kviteseid;;;https://register.geonorge.no/subregister/sosi-kodelister/kartverket/kommunenummer-alle/kartverket/0829
0830;0830;Kartverket;Gyldig;29.11.2017;1;Nissedal;;;https://register.geonorge.no/subregister/sosi-kodelister/kartverket/kommunenummer-alle/kartverket/0830
0831;0831;Kartverket;Gyldig;29.11.2017;1;Fyresdal;;;https://register.geonorge.no/subregister/sosi-kodelister/kartverket/kommunenummer-alle/kartverket/0831
0833;0833;Kartverket;Gyldig;29.11.2017;1;Tokke;;;https://register.geonorge.no/subregister/sosi-kodelister/kartverket/kommunenummer-alle/kartverket/0833
0834;0834;Kartverket;Gyldig;29.11.2017;1;Vinje;;;https://register.geonorge.no/subregister/sosi-kodelister/kartverket/kommunenummer-alle/kartverket/0834
0901;0901;Kartverket;Gyldig;29.11.2017;1;Risør;;;https://register.geonorge.no/subregister/sosi-kodelister/kartverket/kommunenummer-alle/kartverket/0901
0903;0903;Kartverket;Utgått;29.11.2017;1;Arendal;;;https://register.geonorge.no/subregister/sosi-kodelister/kartverket/kommunenummer-alle/kartverket/0903
0904;0904;Kartverket;Gyldig;29.11.2017;1;Grimstad;;;https://register.geonorge.no/subregister/sosi-kodelister/kartverket/kommunenummer-alle/kartverket/0904
0906;0906;Kartverket;Gyldig;29.11.2017;1;Arendal;;;https://register.geonorge.no/subregister/sosi-kodelister/kartverket/kommunenummer-alle/kartverket/0906
